15,0,5,0,8,0,7,0,10,0,2,0
18,0,9,0,14,0,3,0,16,0,12,0
6,0,1,0,17,0,13,0,11,0,4,0
2,0,9,0,3,0,18,0,10,0,5,0
15,0,12,0,11,0,13,0,17,0,8,0
7,0,6,0,16,0,14,0,4,0,1,0
11,0,5,0,2,0,12,0,9,0,17,0
1,0,16,0,18,0,4,0,15,0,10,0
8,0,6,0,14,0,7,0,13,0,3,0
16,0,4,0,10,0,18,0,17,0,11,0
14,0,3,0,15,0,2,0,13,0,6,0
1,0,12,0,7,0,8,0,5,0,9,0
3,0,10,0,17,0,2,0,14,0,11,0
15,0,13,0,1,0,5,0,16,0,9,0
4,0,6,0,12,0,18,0,8,0,7,0
15,0,16,0,2,0,11,0,1,0,3,0
5,0,14,0,17,0,12,0,6,0,18,0
10,0,13,0,9,0,4,0,8,0,7,0
3,0,6,0,5,0,12,0,16,0,17,0
18,0,4,0,13,0,2,0,8,0,1,0
7,0,11,0,9,0,10,0,15,0,14,0
5,0,12,0,13,0,3,0,4,0,16,0
8,0,1,0,9,0,10,0,11,0,6,0
17,0,14,0,7,0,18,0,2,0,15,0
11,0,16,0,8,0,9,0,4,0,5,0
10,0,13,0,1,0,2,0,12,0,14,0
17,0,15,0,7,0,18,0,6,0,3,0
10,0,8,0,12,0,13,0,16,0,14,0
3,0,18,0,11,0,7,0,5,0,1,0
2,0,4,0,17,0,9,0,15,0,6,0
